Target_ID,RA (deg),Dec (deg),Peak_Time_MJD,Redshift,Peak_Magnitude
ULTRASAT_SN_17762,56.305096,-47.74699,59114.25,0.12855,19.461815
ULTRASAT_SN_17917,63.534748,-43.6475,59017.71,0.10715,20.589727
ULTRASAT_SN_18624,65.114815,-49.27284,59033.266,0.06455,17.639366
ULTRASAT_SN_18700,237.23157,53.20578,59211.336,0.08955,19.324345
ULTRASAT_SN_18940,254.01823,54.497314,59277.176,0.06345,18.009228
ULTRASAT_SN_19205,67.200745,-50.294273,59171.094,0.08725,19.053125
ULTRASAT_SN_19326,50.95584,-50.894024,59186.65,0.09255,18.518824
ULTRASAT_SN_19365,256.12836,54.17856,59266.457,0.08515,20.370527
ULTRASAT_SN_19698,62.684624,-50.3925,59046.945,0.11145,19.944468
ULTRASAT_SN_19768,53.512653,-48.69548,59167.473,0.08185,18.547503
ULTRASAT_SN_19846,245.13622,59.90264,59223.54,0.12075,20.810581
ULTRASAT_SN_19891,45.19972,-53.20667,59100.992,0.10865,19.115757
ULTRASAT_SN_20056,237.48985,64.07309,59189.09,0.05285,18.069326
ULTRASAT_SN_20113,259.42935,65.897064,59187.31,0.12195,19.497774
ULTRASAT_SN_20166,50.050938,-44.388424,59030.715,0.12515,19.44696
ULTRASAT_SN_20167,260.67758,64.0286,59186.99,0.10605,19.579018
ULTRASAT_SN_20198,57.4816,-42.7896,59092.312,0.04705,19.8888
ULTRASAT_SN_20679,257.52164,65.58035,59168.5,0.12145,20.072824
ULTRASAT_SN_20728,252.38428,60.659492,59276.727,0.06755,18.816078
ULTRASAT_SN_20880,56.87552,-52.96271,59188.777,0.12925,19.664248
ULTRASAT_SN_20962,47.45552,-48.717945,59086.613,0.07835,18.620207
ULTRASAT_SN_21081,60.410824,-40.87248,59182.617,0.11555,19.457777
ULTRASAT_SN_21259,253.82498,58.169285,59211.527,0.12785,20.448477
ULTRASAT_SN_21389,236.93901,57.971203,59211.88,0.09395,20.179386
ULTRASAT_SN_21894,245.51231,59.05333,59324.793,0.09975,19.476881
ULTRASAT_SN_21924,257.62506,66.22699,59259.344,0.12905,20.186842
ULTRASAT_SN_21952,247.3471,66.42772,59213.367,0.11135,19.159138
ULTRASAT_SN_22184,60.790745,-42.71774,59014.395,0.05235,17.93159
ULTRASAT_SN_22686,245.0622,55.354725,59265.543,0.06615,18.078192
ULTRASAT_SN_22711,48.15082,-41.406036,59174.21,0.07225,19.714653
ULTRASAT_SN_22713,255.03139,57.151928,59332.58,0.09685,19.14517
ULTRASAT_SN_23243,253.2641,63.554726,59195.18,0.12055,19.519121
ULTRASAT_SN_23422,235.55617,66.530975,59177.664,0.11375,19.725882
